position,style,point_id,x_m,y_m,weight,x_norm,y_norm,pitch_length_m,pitch_width_m,data_type
CF,Poacher,48,85.394,48.196,0.96,0.81328,0.70876,105,68,synthetic_role_based_positional_model
CF,Poacher,49,89.787,32.153,1.184,0.85511,0.47284,105,68,synthetic_role_based_positional_model
CF,Poacher,50,87.257,34.585,1.067,0.83102,0.5086,105,68,synthetic_role_based_positional_model
CF,Poacher,51,81.739,26.281,1.146,0.77847,0.38649,105,68,synthetic_role_based_positional_model
CF,Poacher,52,91.71,20.127,0.15,0.87343,0.29599,105,68,synthetic_role_based_positional_model
CF,Poacher,53,87.755,21.66,1.074,0.83576,0.31853,105,68,synthetic_role_based_positional_model
CF,Poacher,54,95.979,29.91,0.989,0.91409,0.43985,105,68,synthetic_role_based_positional_model
CF,Poacher,55,91.499,35.408,1.232,0.87142,0.52071,105,68,synthetic_role_based_positional_model
CF,Poacher,56,91.297,33.981,1.246,0.8695,0.49972,105,68,synthetic_role_based_positional_model
CF,Poacher,57,88.745,33.981,1.165,0.84519,0.49972,105,68,synthetic_role_based_positional_model
CF,Poacher,58,97.564,29.606,0.469,0.92918,0.43538,105,68,synthetic_role_based_positional_model
CF,Poacher,59,87.668,31.985,1.096,0.83493,0.47037,105,68,synthetic_role_based_positional_model
CF,Poacher,60,96.769,34.776,1.063,0.92161,0.51141,105,68,synthetic_role_based_positional_model
CF,Poacher,61,92.58,30.677,1.159,0.88171,0.45113,105,68,synthetic_role_based_positional_model
CF,Poacher,62,87.717,37.794,0.896,0.8354,0.55579,105,68,synthetic_role_based_positional_model
CF,Poacher,63,85.746,29.009,0.961,0.81663,0.4266,105,68,synthetic_role_based_positional_model
CF,Poacher,64,84.509,32.724,0.788,0.80485,0.48124,105,68,synthetic_role_based_positional_model
CF,Poacher,65,95.175,29.515,1.008,0.90643,0.43404,105,68,synthetic_role_based_positional_model
CF,Poacher,66,85.319,30.244,0.78,0.81256,0.44476,105,68,synthetic_role_based_positional_model
CF,Poacher,67,71.707,18.638,0.15,0.68292,0.27409,105,68,synthetic_role_based_positional_model
CF,Poacher,68,90.93,24.099,0.457,0.866,0.3544,105,68,synthetic_role_based_positional_model
CF,Poacher,69,93.097,32.482,1.222,0.88664,0.47768,105,68,synthetic_role_based_positional_model
CF,Poacher,70,86.514,48.679,0.921,0.82394,0.71587,105,68,synthetic_role_based_positional_model
CF,Poacher,71,93.159,43.378,0.536,0.88723,0.63791,105,68,synthetic_role_based_positional_model
CF,Poacher,72,91.616,33.562,1.247,0.87253,0.49356,105,68,synthetic_role_based_positional_model
CF,Poacher,73,86.287,42.382,0.427,0.82178,0.62326,105,68,synthetic_role_based_positional_model
CF,Poacher,74,93.131,28.671,1.013,0.88696,0.42163,105,68,synthetic_role_based_positional_model
CF,Poacher,75,80.505,26.302,1.08,0.76671,0.38679,105,68,synthetic_role_based_positional_model
CF,Poacher,76,89.898,31.712,1.173,0.85617,0.46635,105,68,synthetic_role_based_positional_model
CF,Poacher,77,92.065,28.046,1.04,0.87681,0.41244,105,68,synthetic_role_based_positional_model
CF,Poacher,78,93.126,31.928,0.833,0.88691,0.46953,105,68,synthetic_role_based_positional_model
CF,Poacher,79,98.697,28.186,0.621,0.93997,0.4145,105,68,synthetic_role_based_positional_model
CF,Poacher,80,84.481,33.569,0.796,0.80458,0.49366,105,68,synthetic_role_based_positional_model
CF,Poacher,81,75.205,49.525,0.199,0.71624,0.72831,105,68,synthetic_role_based_positional_model
CF,Poacher,82,90.536,36.996,1.161,0.86225,0.54406,105,68,synthetic_role_based_positional_model
CF,Poacher,83,76.015,48.022,0.422,0.72395,0.70621,105,68,synthetic_role_based_positional_model
CF,Poacher,84,79.279,30.724,1.201,0.75504,0.45182,105,68,synthetic_role_based_positional_model
CF,Poacher,85,90.362,20.78,0.929,0.86059,0.30559,105,68,synthetic_role_based_positional_model
CF,Poacher,86,94.946,38.175,1.041,0.90425,0.5614,105,68,synthetic_role_based_positional_model
CF,Poacher,87,89.768,40.962,1.171,0.85493,0.60238,105,68,synthetic_role_based_positional_model
CF,Poacher,88,96.518,26.489,0.635,0.91922,0.38954,105,68,synthetic_role_based_positional_model
CF,Poacher,89,78.217,40.073,0.909,0.74492,0.58931,105,68,synthetic_role_based_positional_model
CF,Poacher,90,89.495,33.115,1.194,0.85233,0.48699,105,68,synthetic_role_based_positional_model
CF,Poacher,91,81.425,33.163,0.35,0.77548,0.48769,105,68,synthetic_role_based_positional_model
CF,Poacher,92,84.019,28.124,1.221,0.80018,0.41359,105,68,synthetic_role_based_positional_model
CF,Poacher,93,97.941,43.607,0.229,0.93277,0.64128,105,68,synthetic_role_based_positional_model
CF,Poacher,94,88.28,31.054,1.07,0.84076,0.45668,105,68,synthetic_role_based_positional_model
CF,Poacher,95,82.749,24.183,0.15,0.78809,0.35563,105,68,synthetic_role_based_positional_model
CF,Poacher,96,88.659,35.505,1.143,0.84437,0.52213,105,68,synthetic_role_based_positional_model
CF,Poacher,97,74.958,39.628,0.562,0.71389,0.58276,105,68,synthetic_role_based_positional_model
CF,Poacher,98,91.437,27.4,0.899,0.87083,0.40294,105,68,synthetic_role_based_positional_model
CF,Poacher,99,95.27,28.814,0.949,0.90733,0.42374,105,68,synthetic_role_based_positional_model
CF,Poacher,100,67.14,25.241,0.568,0.63943,0.37119,105,68,synthetic_role_based_positional_model
CF,Poacher,101,80.624,22.541,0.693,0.76785,0.33149,105,68,synthetic_role_based_positional_model
CF,Poacher,102,83.651,45.176,1.122,0.79668,0.66435,105,68,synthetic_role_based_positional_model
CF,Poacher,103,86.135,28.327,1.24,0.82033,0.41657,105,68,synthetic_role_based_positional_model
CF,Poacher,104,91.213,40.047,0.953,0.8687,0.58893,105,68,synthetic_role_based_positional_model
CF,Poacher,105,87.417,45.656,1.118,0.83254,0.67141,105,68,synthetic_role_based_positional_model
CF,Poacher,106,87.837,42.671,1.216,0.83654,0.62751,105,68,synthetic_role_based_positional_model
CF,Poacher,107,93.286,32.782,0.58,0.88844,0.48209,105,68,synthetic_role_based_positional_model
CF,Poacher,108,96.417,45.77,0.15,0.91826,0.67309,105,68,synthetic_role_based_positional_model
CF,Poacher,109,91.67,30.58,1.156,0.87305,0.44971,105,68,synthetic_role_based_positional_model
CF,Poacher,110,92.657,36.982,0.45,0.88245,0.54385,105,68,synthetic_role_based_positional_model
CF,Poacher,111,92.945,41.876,0.978,0.88519,0.61582,105,68,synthetic_role_based_positional_model
CF,Poacher,112,96.101,29.85,0.638,0.91525,0.43897,105,68,synthetic_role_based_positional_model
CF,Poacher,113,75.066,34.704,1.221,0.71491,0.51035,105,68,synthetic_role_based_positional_model
CF,Poacher,114,86.578,31.346,1.143,0.82455,0.46097,105,68,synthetic_role_based_positional_model
CF,Poacher,115,97.65,32.486,0.976,0.93,0.47774,105,68,synthetic_role_based_positional_model
CF,Poacher,116,94.234,37.542,1.11,0.89747,0.55209,105,68,synthetic_role_based_positional_model
CF,Poacher,117,91.187,25.587,1.089,0.86845,0.37628,105,68,synthetic_role_based_positional_model
CF,Poacher,118,98.302,49.785,0.15,0.93621,0.73213,105,68,synthetic_role_based_positional_model
CF,Poacher,119,88.436,19.495,0.904,0.84225,0.28669,105,68,synthetic_role_based_positional_model
CF,Poacher,120,78.262,34.933,0.713,0.74535,0.51372,105,68,synthetic_role_based_positional_model
CF,Poacher,121,86.121,37.551,0.992,0.8202,0.55222,105,68,synthetic_role_based_positional_model
CF,Poacher,122,68.752,26.039,0.724,0.65478,0.38293,105,68,synthetic_role_based_positional_model
CF,Poacher,123,90.405,23.955,1.091,0.861,0.35228,105,68,synthetic_role_based_positional_model
CF,Poacher,124,92.03,38.554,1.084,0.87648,0.56697,105,68,synthetic_role_based_positional_model
CF,Poacher,125,73.95,43.652,0.818,0.70429,0.64194,105,68,synthetic_role_based_positional_model
CF,Poacher,126,83.445,29.443,0.498,0.79471,0.43299,105,68,synthetic_role_based_positional_model
CF,Poacher,127,97.23,40.779,0.549,0.926,0.59969,105,68,synthetic_role_based_positional_model
CF,Poacher,128,73.242,43.343,0.823,0.69754,0.6374,105,68,synthetic_role_based_positional_model
CF,Poacher,129,94.767,28.31,0.93,0.90254,0.41632,105,68,synthetic_role_based_positional_model
CF,Poacher,130,80.065,23.43,0.984,0.76252,0.34456,105,68,synthetic_role_based_positional_model
CF,Poacher,131,104.5,32.788,0.15,0.99524,0.48218,105,68,synthetic_role_based_positional_model
CF,Poacher,132,97.55,39.79,0.735,0.92905,0.58515,105,68,synthetic_role_based_positional_model
CF,Poacher,133,83.824,29.235,0.534,0.79832,0.42993,105,68,synthetic_role_based_positional_model
CF,Poacher,134,100.637,28.919,0.15,0.95845,0.42528,105,68,synthetic_role_based_positional_model
CF,Poacher,135,96.156,44.66,0.203,0.91577,0.65676,105,68,synthetic_role_based_positional_model
CF,Poacher,136,84.534,39.631,0.55,0.80509,0.58281,105,68,synthetic_role_based_positional_model
CF,Poacher,137,94.716,29.939,1.059,0.90206,0.44028,105,68,synthetic_role_based_positional_model
CF,Poacher,138,91.203,20.368,0.855,0.8686,0.29953,105,68,synthetic_role_based_positional_model
CF,Poacher,139,92.131,34.591,1.247,0.87744,0.50869,105,68,synthetic_role_based_positional_model
CF,Poacher,140,95.191,26.27,0.691,0.90658,0.38632,105,68,synthetic_role_based_positional_model
CF,Poacher,141,93.227,31.922,1.203,0.88788,0.46944,105,68,synthetic_role_based_positional_model
CF,Poacher,142,83.3,33.561,0.902,0.79333,0.49354,105,68,synthetic_role_based_positional_model
CF,Poacher,143,96.778,32.446,1.048,0.9217,0.47715,105,68,synthetic_role_based_positional_model
CF,Poacher,144,85.426,22.968,1.158,0.81358,0.33776,105,68,synthetic_role_based_positional_model
CF,Poacher,145,93.656,40.656,0.874,0.89196,0.59788,105,68,synthetic_role_based_positional_model
CF,Poacher,146,83.875,31.51,1.112,0.79881,0.46338,105,68,synthetic_role_based_positional_model
CF,Poacher,147,96.893,37.544,0.958,0.92279,0.55212,105,68,synthetic_role_based_positional_model
CF,Poacher,148,87.809,24.487,1.197,0.83628,0.3601,105,68,synthetic_role_based_positional_model
CF,Poacher,149,100.108,34.471,0.15,0.95341,0.50693,105,68,synthetic_role_based_positional_model
CF,Poacher,150,84.293,40.121,0.475,0.80279,0.59001,105,68,synthetic_role_based_positional_model
CF,Poacher,151,93.261,47.004,0.757,0.8882,0.69124,105,68,synthetic_role_based_positional_model
CF,Poacher,152,97.572,35.049,0.993,0.92926,0.51543,105,68,synthetic_role_based_positional_model
CF,Poacher,153,98.646,34.673,0.893,0.93949,0.5099,105,68,synthetic_role_based_positional_model
CF,Poacher,154,90.353,34.625,1.225,0.8605,0.50919,105,68,synthetic_role_based_positional_model
CF,Poacher,155,91.462,44.684,1.009,0.87107,0.65712,105,68,synthetic_role_based_positional_model
CF,Poacher,156,78.395,37.634,0.866,0.74662,0.55344,105,68,synthetic_role_based_positional_model
CF,Poacher,157,80.55,35.722,0.93,0.76714,0.52532,105,68,synthetic_role_based_positional_model
CF,Poacher,158,96.015,37.206,1.039,0.91443,0.54715,105,68,synthetic_role_based_positional_model
CF,Poacher,159,100.422,31.494,0.632,0.9564,0.46315,105,68,synthetic_role_based_positional_model
CF,Poacher,160,92.202,27.625,0.925,0.87811,0.40625,105,68,synthetic_role_based_positional_model
CF,Poacher,161,77.387,24.288,0.797,0.73702,0.35718,105,68,synthetic_role_based_positional_model
CF,Poacher,162,81.114,42.486,0.15,0.77251,0.62479,105,68,synthetic_role_based_positional_model
CF,Poacher,163,96.553,37.922,0.961,0.91955,0.55768,105,68,synthetic_role_based_positional_model
CF,Poacher,164,93.472,34.786,1.228,0.89021,0.51156,105,68,synthetic_role_based_positional_model
CF,Poacher,165,97.862,33.208,0.97,0.93202,0.48835,105,68,synthetic_role_based_positional_model
CF,Poacher,166,92.27,33.046,0.68,0.87876,0.48597,105,68,synthetic_role_based_positional_model
CF,Poacher,167,90.22,43.891,1.105,0.85924,0.64546,105,68,synthetic_role_based_positional_model
CF,Poacher,168,96.284,36.562,1.051,0.91699,0.53768,105,68,synthetic_role_based_positional_model
CF,Poacher,169,93.364,37.779,1.121,0.88918,0.55557,105,68,synthetic_role_based_positional_model
CF,Poacher,170,68.985,35.423,0.15,0.657,0.52093,105,68,synthetic_role_based_positional_model
CF,Poacher,171,94.815,34.141,1.186,0.903,0.50207,105,68,synthetic_role_based_positional_model
CF,Poacher,172,92.328,35.05,1.24,0.87931,0.51544,105,68,synthetic_role_based_positional_model
CF,Poacher,173,94.674,39.488,0.952,0.90166,0.58071,105,68,synthetic_role_based_positional_model
CF,Poacher,174,82.949,24.421,1.161,0.78999,0.35913,105,68,synthetic_role_based_positional_model
CF,Poacher,175,86.447,32.903,0.994,0.8233,0.48387,105,68,synthetic_role_based_positional_model
CF,Poacher,176,96.808,32.833,1.054,0.92198,0.48284,105,68,synthetic_role_based_positional_model
CF,Poacher,177,82.519,53.864,0.263,0.7859,0.79212,105,68,synthetic_role_based_positional_model
CF,Poacher,178,87.683,35.503,1.066,0.83508,0.5221,105,68,synthetic_role_based_positional_model
CF,Poacher,179,77.913,30.812,0.15,0.74203,0.45312,105,68,synthetic_role_based_positional_model
CF,Poacher,180,87.081,32.131,1.028,0.82934,0.47251,105,68,synthetic_role_based_positional_model
CF,Poacher,181,96.047,34.823,1.114,0.91473,0.5121,105,68,synthetic_role_based_positional_model
CF,Poacher,182,95.563,29.024,0.95,0.91012,0.42682,105,68,synthetic_role_based_positional_model
CF,Poacher,183,96.472,28.118,0.813,0.91878,0.4135,105,68,synthetic_role_based_positional_model
CF,Poacher,184,92.939,27.103,0.862,0.88513,0.39857,105,68,synthetic_role_based_positional_model
CF,Poacher,185,95.007,39.588,0.928,0.90483,0.58218,105,68,synthetic_role_based_positional_model
CF,Poacher,186,89.256,20.895,0.984,0.85006,0.30728,105,68,synthetic_role_based_positional_model
CF,Poacher,187,98.966,50.253,0.15,0.94253,0.73901,105,68,synthetic_role_based_positional_model
CF,Poacher,188,86.48,27.378,1.248,0.82362,0.40262,105,68,synthetic_role_based_positional_model
CF,Poacher,189,85.021,29.084,1.221,0.80972,0.42771,105,68,synthetic_role_based_positional_model
CF,Poacher,190,80.184,9.829,0.15,0.76366,0.14454,105,68,synthetic_role_based_positional_model
CF,Poacher,191,96.993,37.237,0.967,0.92374,0.5476,105,68,synthetic_role_based_positional_model
CF,Poacher,192,99.7,41.357,0.207,0.94952,0.60819,105,68,synthetic_role_based_positional_model
CF,Poacher,193,76.498,43.275,0.892,0.72855,0.6364,105,68,synthetic_role_based_positional_model
CF,Poacher,194,86.83,42.808,0.415,0.82695,0.62953,105,68,synthetic_role_based_positional_model
CF,Poacher,195,82.723,28.682,1.175,0.78784,0.42179,105,68,synthetic_role_based_positional_model
CF,Poacher,196,84.143,42.836,1.212,0.80136,0.62994,105,68,synthetic_role_based_positional_model
CF,Poacher,197,88.576,25.178,1.195,0.84358,0.37026,105,68,synthetic_role_based_positional_model
CF,Poacher,198,98.275,29.874,0.799,0.93595,0.43932,105,68,synthetic_role_based_positional_model
CF,Poacher,199,86.698,39.365,0.795,0.8257,0.5789,105,68,synthetic_role_based_positional_model
CF,Poacher,200,93.283,35.233,0.771,0.88841,0.51813,105,68,synthetic_role_based_positional_model
CF,Poacher,201,89.256,35.605,1.169,0.85006,0.5236,105,68,synthetic_role_based_positional_model
CF,Poacher,202,84.288,25.931,1.227,0.80274,0.38134,105,68,synthetic_role_based_positional_model
CF,Poacher,203,83.258,38.166,0.516,0.79293,0.56126,105,68,synthetic_role_based_positional_model
CF,Poacher,204,85.993,41.537,0.507,0.81898,0.61084,105,68,synthetic_role_based_positional_model
CF,Poacher,205,83.153,42.665,1.19,0.79193,0.62743,105,68,synthetic_role_based_positional_model
CF,Poacher,206,86.15,44.222,1.192,0.82048,0.65032,105,68,synthetic_role_based_positional_model
CF,Poacher,207,94.741,38.735,1.011,0.9023,0.56963,105,68,synthetic_role_based_positional_model
CF,Poacher,208,92.129,26.563,0.807,0.87742,0.39063,105,68,synthetic_role_based_positional_model
CF,Poacher,209,88.239,30.991,1.134,0.84037,0.45575,105,68,synthetic_role_based_positional_model
CF,Poacher,210,92.474,34.539,1.246,0.8807,0.50793,105,68,synthetic_role_based_positional_model
CF,Poacher,211,85.698,40.523,1.248,0.81617,0.59593,105,68,synthetic_role_based_positional_model
CF,Poacher,212,88.541,50.429,0.72,0.84325,0.7416,105,68,synthetic_role_based_positional_model
CF,Poacher,213,80.157,39.362,1.045,0.7634,0.57885,105,68,synthetic_role_based_positional_model
CF,Poacher,214,85.246,34.899,0.879,0.81187,0.51322,105,68,synthetic_role_based_positional_model
CF,Poacher,215,85.297,33.691,0.95,0.81235,0.49546,105,68,synthetic_role_based_positional_model
CF,Poacher,216,89.172,35.672,1.164,0.84926,0.52459,105,68,synthetic_role_based_positional_model
CF,Poacher,217,71.376,36.054,0.15,0.67977,0.53021,105,68,synthetic_role_based_positional_model
CF,Poacher,218,83.248,26.678,0.208,0.79284,0.39232,105,68,synthetic_role_based_positional_model
CF,Poacher,219,89.292,34.821,1.186,0.8504,0.51207,105,68,synthetic_role_based_positional_model
CF,Poacher,220,91.365,43.284,1.061,0.87014,0.63653,105,68,synthetic_role_based_positional_model
CF,Poacher,221,83.497,39.999,1.21,0.79521,0.58822,105,68,synthetic_role_based_positional_model
CF,Poacher,222,92.703,32.138,1.218,0.88289,0.47262,105,68,synthetic_role_based_positional_model
CF,Poacher,223,94.037,31.335,1.16,0.89559,0.46081,105,68,synthetic_role_based_positional_model
CF,Poacher,224,79.904,36.636,0.938,0.76099,0.53876,105,68,synthetic_role_based_positional_model
CF,Poacher,225,85.416,25.103,1.228,0.81349,0.36916,105,68,synthetic_role_based_positional_model
CF,Poacher,226,87.25,47.733,0.989,0.83095,0.70196,105,68,synthetic_role_based_positional_model
CF,Poacher,227,90.052,30.198,1.104,0.85764,0.44409,105,68,synthetic_role_based_positional_model
CF,Poacher,228,89.502,27.307,0.842,0.8524,0.40157,105,68,synthetic_role_based_positional_model
CF,Poacher,229,98.087,40.322,0.436,0.93416,0.59297,105,68,synthetic_role_based_positional_model
CF,Poacher,230,88.006,32.436,1.103,0.83815,0.477,105,68,synthetic_role_based_positional_model
CF,Poacher,231,98.961,36.083,0.15,0.94249,0.53063,105,68,synthetic_role_based_positional_model
CF,Poacher,232,86.566,30.446,0.913,0.82444,0.44774,105,68,synthetic_role_based_positional_model
CF,Poacher,233,87.08,33.944,1.056,0.82933,0.49918,105,68,synthetic_role_based_positional_model
CF,Poacher,234,95.017,38.828,0.991,0.90492,0.571,105,68,synthetic_role_based_positional_model
CF,Poacher,235,93.661,39.975,0.942,0.89201,0.58787,105,68,synthetic_role_based_positional_model
CF,Poacher,236,93.179,46.358,0.804,0.88742,0.68174,105,68,synthetic_role_based_positional_model
CF,Poacher,237,91.582,21.403,0.903,0.87221,0.31475,105,68,synthetic_role_based_positional_model
CF,Poacher,238,96.029,23.943,0.311,0.91456,0.3521,105,68,synthetic_role_based_positional_model
CF,Poacher,239,92.373,33.851,0.764,0.87974,0.49781,105,68,synthetic_role_based_positional_model
CF,Poacher,240,87.812,46.416,1.069,0.8363,0.68259,105,68,synthetic_role_based_positional_model
CF,Poacher,241,88.38,28.709,0.921,0.84171,0.42219,105,68,synthetic_role_based_positional_model
CF,Poacher,242,96.252,31.971,1.072,0.91669,0.47016,105,68,synthetic_role_based_positional_model
CF,Poacher,243,89.337,28.551,0.956,0.85083,0.41987,105,68,synthetic_role_based_positional_model
CF,Poacher,244,73.198,29.043,1.078,0.69712,0.4271,105,68,synthetic_role_based_positional_model
CF,Poacher,245,94.4,27.266,0.841,0.89905,0.40097,105,68,synthetic_role_based_positional_model
CF,Poacher,246,82.676,39.802,1.181,0.78739,0.58532,105,68,synthetic_role_based_positional_model
CF,Poacher,247,85.891,33.823,0.951,0.81801,0.4974,105,68,synthetic_role_based_positional_model
CF,Poacher,248,85.158,30.398,1.182,0.81103,0.44703,105,68,synthetic_role_based_positional_model
CF,Poacher,249,99.846,36.642,0.702,0.95091,0.53885,105,68,synthetic_role_based_positional_model
CF,Poacher,250,84.924,36.971,0.779,0.8088,0.54369,105,68,synthetic_role_based_positional_model
CF,Poacher,251,89.594,26.908,0.801,0.85328,0.39571,105,68,synthetic_role_based_positional_model
CF,Poacher,252,95.58,46.952,0.543,0.91029,0.69047,105,68,synthetic_role_based_positional_model
CF,Poacher,253,76.235,30.858,1.2,0.72605,0.45379,105,68,synthetic_role_based_positional_model
CF,Poacher,254,92.846,35.514,1.226,0.88425,0.52226,105,68,synthetic_role_based_positional_model
CF,Poacher,255,93.036,36.979,1.17,0.88606,0.54381,105,68,synthetic_role_based_positional_model
CF,Poacher,256,91.259,31.907,1.211,0.86913,0.46922,105,68,synthetic_role_based_positional_model
CF,Poacher,257,75.609,30.595,0.578,0.72009,0.44993,105,68,synthetic_role_based_positional_model
CF,Poacher,258,89.771,34.448,1.209,0.85496,0.50659,105,68,synthetic_role_based_positional_model
CF,Poacher,259,89.258,33.756,1.189,0.85008,0.49641,105,68,synthetic_role_based_positional_model
CF,Poacher,260,93.329,30.705,1.149,0.88885,0.45154,105,68,synthetic_role_based_positional_model
CF,Poacher,261,83.065,48.589,0.882,0.7911,0.71454,105,68,synthetic_role_based_positional_model
CF,Poacher,262,93.544,32.428,1.211,0.8909,0.47688,105,68,synthetic_role_based_positional_model
CF,Poacher,263,88.309,31.946,1.107,0.84104,0.46979,105,68,synthetic_role_based_positional_model
CF,Poacher,264,92.266,40.435,0.918,0.87872,0.59463,105,68,synthetic_role_based_positional_model
CF,Poacher,265,87.848,35.235,1.046,0.83665,0.51816,105,68,synthetic_role_based_positional_model
CF,Poacher,266,90.149,24.873,1.129,0.85856,0.36578,105,68,synthetic_role_based_positional_model
CF,Poacher,267,73.672,34.031,1.191,0.70164,0.50046,105,68,synthetic_role_based_positional_model
CF,Poacher,268,81.757,21.738,0.996,0.77864,0.31968,105,68,synthetic_role_based_positional_model
CF,Poacher,269,82.433,29.793,1.136,0.78508,0.43813,105,68,synthetic_role_based_positional_model
CF,Poacher,270,99.375,34.455,0.15,0.94643,0.50669,105,68,synthetic_role_based_positional_model
CF,Poacher,271,79.603,26.323,1.02,0.75812,0.3871,105,68,synthetic_role_based_positional_model
CF,Poacher,272,79.303,43.156,0.975,0.75527,0.63465,105,68,synthetic_role_based_positional_model
CF,Poacher,273,91.347,35.172,1.236,0.86997,0.51724,105,68,synthetic_role_based_positional_model
CF,Poacher,274,66.516,41.439,0.15,0.63349,0.6094,105,68,synthetic_role_based_positional_model
CF,Poacher,275,74.176,27.986,0.468,0.70644,0.41156,105,68,synthetic_role_based_positional_model
CF,Poacher,276,84.626,21.186,1.052,0.80596,0.31156,105,68,synthetic_role_based_positional_model
CF,Poacher,277,94.638,34.645,1.191,0.90131,0.50949,105,68,synthetic_role_based_positional_model
CF,Poacher,278,93.186,45.189,0.866,0.88749,0.66454,105,68,synthetic_role_based_positional_model
